secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1642.4,-105.26987439,40.01054534,0,0,24,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1642.4,-105.26987196,40.01054643,0,0,24,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1642.2,-105.26987297,40.01054073,0,0,24,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1642,-105.26987423,40.01053788,0,0,24,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00311,11.1852,0,152,1642.2,-105.26987288,40.01053897,0,6.43087,24,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.0064,11.8584,0,105,1642.2,-105.26987171,40.01053939,0,0,24,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.01036,14.2416,0,63,1642.2,-105.26987062,40.01053872,0,0,24,0,-255,0,0,0,0,0,0,0,0
8,1,0,0.01487,16.2576,0,63,1642.2,-105.26986978,40.01053872,0,0,24,0,-255,0,0,0,0,0,0,0,0
9,82,0,0.01939,16.2576,0,63,1642.2,-105.26986878,40.01053947,0,0,24,0,-255,0,0,0,0,0,0,0,0
10,82,0,0.02427,17.568,0,89,1642.2,-105.26986718,40.01053914,0,0.643087,24,0,-255,0,0,0,0,0,0,0,0
11,86,0,0.02919,17.7012,0,104,1642.2,-105.26986643,40.01053855,0,0.643087,24,0,-255,0,0,0,0,0,0,0,0
12,86,0,0.0341,17.7012,0,106,1642.2,-105.26986601,40.01053796,0,0.643087,24,0,-255,0,0,0,0,0,0,0,0
13,82,0,0.04008,21.4992,0,185,1642.2,-105.26986576,40.01053712,0,0.643087,24,0,-255,0,0,0,0,0,0,0,0
14,79,0,0.04605,21.4992,0,195,1642.4,-105.26986651,40.01053578,0,0.978095,24,0,-255,0,0,0,0,0,0,0,0
15,78,0,0.05202,21.4992,0,186,1642.4,-105.26986727,40.01053444,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
16,83,0,0.05838,22.9104,0,173,1642.4,-105.26986760,40.01053360,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
17,83,0,0.06484,23.2452,0,173,1642.4,-105.26986869,40.01053335,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
18,85,0,0.0713,23.2452,0,173,1642.4,-105.26986861,40.01053285,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
19,88,0,0.07794,23.9148,0,148,1642.4,-105.26986878,40.01053218,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
20,90,0,0.08483,24.7896,0,151,1642.4,-105.26986886,40.01053184,0,0.335008,24,0,-255,0,0,0,0,0,0,0,0
