secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1651.8,-105.26984816,40.01051365,0,0,24,0,14,0,0,0,0,0,0,0,0
2,38,0,0,0,0,11,1652,-105.26984791,40.01051365,0,0,23,0,72,0,0,0,0,0,0,0,0
3,58,0,0.00171,6.1488,0,7,1652,-105.26984765,40.01051374,0,0,23,0,72,0,0,0,0,0,0,0,0
4,58,0,0.00343,6.2136,0,6,1651.6,-105.26984791,40.01051357,0,-23.2558,23,0,72,0,0,0,0,0,0,0,0
5,63,0,0.00516,6.2136,0,32,1651.8,-105.26984774,40.01051391,0,11.5607,23,0,43,0,0,0,0,0,0,0,0
6,73,0,0.0075,8.4312,0,19,1651.8,-105.26984782,40.01051399,0,0,23,0,59,0,0,0,0,0,0,0,0
7,70,0,0.00984,8.4312,0,16,1651.8,-105.26984799,40.01051382,0,0,23,0,59,0,0,0,0,0,0,0,0
8,69,0,0.01219,8.4312,0,16,1651.8,-105.26984791,40.01051449,0,0,23,0,59,0,0,0,0,0,0,0,0
9,70,0,0.01481,9.4392,0,15,1651.6,-105.26984799,40.01051416,0,-7.63359,23,0,59,0,0,0,0,0,0,0,0
10,70,0,0.01743,9.4392,0,70,1651.6,-105.26984791,40.01051449,0,-1.93287,23,0,50,0,0,0,0,0,0,0,0
11,78,0,0.02071,11.8224,0,46,1651.6,-105.26984791,40.01051433,0,-1.93287,23,0,57,0,0,0,0,0,0,0,0
12,72,0,0.02415,12.3624,0,101,1651.6,-105.26984791,40.01051483,0,-1.93287,23,0,63,0,0,0,0,0,0,0,0
13,77,0,0.02776,12.9996,0,64,1651.6,-105.26984791,40.01051458,0,-1.93287,23,0,49,0,0,0,0,0,0,0,0
14,72,0,0.03137,12.9996,0,111,1651.8,-105.26984791,40.01051491,0,0.946727,23,0,57,0,0,0,0,0,0,0,0
15,76,0,0.03532,14.2092,0,89,1651.8,-105.26984799,40.01051508,0,-0.209342,23,0,57,0,0,0,0,0,0,0,0
16,78,0,0.03926,14.2092,0,81,1651.8,-105.26984799,40.01051533,0,-0.209342,23,0,54,0,0,0,0,0,0,0,0
17,80,0,0.04321,14.2092,0,65,1651.8,-105.26984799,40.01051558,0,-0.209342,23,0,59,0,0,0,0,0,0,0,0
18,81,0,0.04741,15.1164,0,63,1651.8,-105.26984799,40.01051541,0,-0.209342,23,0,50,0,0,0,0,0,0,0,0
19,82,0,0.05161,15.1164,0,60,1651.8,-105.26984799,40.01051550,0,0.554017,23,0,50,0,0,0,0,0,0,0,0
20,81,0,0.05587,15.3504,0,65,1651.8,-105.26984799,40.01051541,0,0.554017,23,0,50,0,0,0,0,0,0,0,0
21,76,0,0.06065,17.1972,0,124,1651.8,-105.26984782,40.01051541,0,0.554017,23,0,50,0,0,0,0,0,0,0,0
22,76,0,0.06543,17.1972,0,61,1651.8,-105.26984782,40.01051550,0,0.554017,23,0,60,0,0,0,0,0,0,0,0
23,76,0,0.07012,16.8948,0,64,1651.8,-105.26984774,40.01051550,0,0.554017,23,0,60,0,0,0,0,0,0,0,0
24,79,0,0.07481,16.8948,0,80,1652,-105.26984782,40.01051541,0,0.426439,23,0,55,0,0,0,0,0,0,0,0
25,79,0,0.07951,16.8948,0,66,1652,-105.26984765,40.01051558,0,0.426439,23,0,49,0,0,0,0,0,0,0,0
26,79,0,0.08428,17.1972,0,63,1652,-105.26984774,40.01051541,0,0.426439,23,0,51,0,0,0,0,0,0,0,0
27,80,0,0.08918,17.6364,0,68,1652,-105.26984774,40.01051541,0,0.426439,23,0,46,0,0,0,0,0,0,0,0
28,82,0,0.09408,17.6364,0,58,1651.8,-105.26984774,40.01051541,0,0.018276,23,0,51,0,0,0,0,0,0,0,0
29,81,0,0.09895,17.5356,0,66,1651.8,-105.26984774,40.01051558,0,0.018276,23,0,36,0,0,0,0,0,0,0,0
30,83,0,0.10396,18.0396,0,73,1651.8,-105.26984782,40.01051558,0,0.018276,23,0,48,0,0,0,0,0,0,0,0
31,83,0,0.10895,17.9388,0,72,1651.8,-105.26984782,40.01051575,0,0.018276,23,0,48,0,0,0,0,0,0,0,0
32,84,0,0.11408,18.4752,0,74,1651.8,-105.26984791,40.01051567,0,0.018276,23,0,29,0,0,0,0,0,0,0,0
33,85,0,0.11921,18.4752,0,55,1651.8,-105.26984799,40.01051575,0,0.018276,23,0,32,0,0,0,0,0,0,0,0
34,84,0,0.12424,18.1044,0,64,1651.8,-105.26984791,40.01051583,0,-0.408163,23,0,45,0,0,0,0,0,0,0,0
35,85,0,0.12934,18.3744,0,51,1651.8,-105.26984782,40.01051575,0,-0.408163,23,0,45,0,0,0,0,0,0,0,0
36,85,0,0.13438,18.1404,0,48,1651.8,-105.26984799,40.01051541,0,-0.408163,23,0,50,0,0,0,0,0,0,0,0
37,83,0,0.1394,18.072,0,53,1651.8,-105.26984799,40.01051399,0,-0.408163,23,0,38,0,0,0,0,0,0,0,0
38,84,0,0.14442,18.072,0,61,1651.8,-105.26984799,40.01051307,0,0,23,0,42,0,0,0,0,0,0,0,0
39,84,0,0.14951,18.306,0,57,1651.8,-105.26984849,40.01051365,0,0,23,0,36,0,0,0,0,0,0,0,0
40,85,0,0.15462,18.4068,0,57,1651.8,-105.26984841,40.01051374,0,0,23,0,42,0,0,0,0,0,0,0,0
41,85,0,0.15972,18.3744,0,53,1651.8,-105.26984874,40.01051349,0,0,23,0,32,0,0,0,0,0,0,0,0
42,85,0,0.16486,18.5076,0,60,1651.8,-105.26984900,40.01051349,0,0,23,0,38,0,0,0,0,0,0,0,0
43,85,0,0.17001,18.5076,0,47,1651.8,-105.26984900,40.01051315,0,0,23,0,30,0,0,0,0,0,0,0,0
44,83,0,0.17513,18.4428,0,106,1651.8,-105.26984916,40.01051298,0,0,23,0,38,0,0,0,0,0,0,0,0
45,80,0,0.1806,19.6848,0,104,1651.8,-105.26984916,40.01051290,0,0,23,0,51,0,0,0,0,0,0,0,0
46,81,0,0.18612,19.8864,0,102,1651.8,-105.26984916,40.01051290,0,0,23,0,43,0,0,0,0,0,0,0,0
47,82,0,0.19164,19.8864,0,80,1651.8,-105.26984916,40.01051290,0,0,23,0,43,0,0,0,0,0,0,0,0
48,82,0,0.19714,19.7856,0,86,1652,-105.26984916,40.01051323,0,0.363636,23,0,47,0,0,0,0,0,0,0,0
49,83,0,0.20272,20.088,0,88,1652,-105.26984916,40.01051323,0,0.363636,23,0,47,0,0,0,0,0,0,0,0
50,84,0,0.20837,20.3544,0,77,1652,-105.26984925,40.01051315,0,0.363636,23,0,55,0,0,0,0,0,0,0,0
51,84,0,0.21399,20.2212,0,69,1652,-105.26984916,40.01051307,0,0.363636,23,0,54,0,0,0,0,0,0,0,0
52,84,0,0.21961,20.2212,0,71,1652,-105.26984925,40.01051315,0,0.363636,23,0,50,0,0,0,0,0,0,0,0
