secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1645.2,-105.26990155,40.01052480,0,0,25,0,-255,0,0,0,0,0,0,0,0
2,42,0,0,0,0,29,1645.4,-105.26990063,40.01052421,0,0,25,0,-255,0,0,0,0,0,0,0,0
3,86,0,0,0,0,45,1645.4,-105.26989996,40.01052472,0,0,25,0,50,0,0,0,0,0,0,0,0
4,90,0,0.00278,10.0116,0,48,1645.2,-105.26990046,40.01052472,0,-7.19424,25,0,50,0,0,0,0,0,0,0,0
5,93,0,0.00556,10.0116,0,71,1645.2,-105.26990046,40.01052430,0,0,25,0,57,0,0,0,0,0,0,0,0
6,98,0,0.00905,12.564,0,56,1645.4,-105.26990096,40.01052447,0,5.73066,25,0,57,0,0,0,0,0,0,0,0
7,97,0,0.01317,14.814,0,55,1645.4,-105.26989996,40.01052321,0,0,25,0,63,0,0,0,0,0,0,0,0
8,96,0,0.01746,15.4512,0,61,1645.2,-105.26989803,40.01052287,0,-4.662,25,0,49,0,0,0,0,0,0,0,0
9,94,0,0.02197,16.2576,0,108,1645.2,-105.26989686,40.01052321,0,0,25,0,34,0,0,0,0,0,0,0,0
10,95,0,0.02649,16.2576,0,148,1645.2,-105.26989543,40.01052296,0,-0.612559,25,0,55,0,0,0,0,0,0,0,0
11,98,0,0.03162,18.4752,0,131,1645.2,-105.26989493,40.01052254,0,-0.612559,25,0,43,0,0,0,0,0,0,0,0
12,100,0,0.03679,18.6084,0,112,1645.2,-105.26989434,40.01052262,0,-0.612559,25,0,52,0,0,0,0,0,0,0,0
13,100,0,0.04195,18.576,0,105,1645.2,-105.26989401,40.01052271,0,-0.612559,25,0,44,0,0,0,0,0,0,0,0
14,101,0,0.04711,18.576,0,84,1645.2,-105.26989401,40.01052254,0,0.106865,25,0,48,0,0,0,0,0,0,0,0
15,103,0,0.05241,19.08,0,100,1645.2,-105.26989401,40.01052246,0,0.106865,25,0,47,0,0,0,0,0,0,0,0
16,105,0,0.05783,19.5156,0,77,1645.2,-105.26989392,40.01052246,0,-0.4662,25,0,55,0,0,0,0,0,0,0,0
17,104,0,0.06319,19.2816,0,53,1645.2,-105.26989367,40.01052254,0,-0.4662,25,0,44,0,0,0,0,0,0,0,0
18,104,0,0.06859,19.4472,0,68,1645.2,-105.26989367,40.01052254,0,0,25,0,60,0,0,0,0,0,0,0,0
19,105,0,0.07399,19.4472,0,73,1645.2,-105.26989384,40.01052246,0,0,25,0,34,0,0,0,0,0,0,0,0
20,94,0,0.07952,19.8864,0,114,1645.2,-105.26989375,40.01052262,0,0,25,0,41,0,0,0,0,0,0,0,0
21,97,0,0.08532,20.8944,0,175,1645.4,-105.26989367,40.01052262,0,0.344828,25,0,40,0,0,0,0,0,0,0,0
22,103,0,0.09154,22.4064,0,169,1645.4,-105.26989367,40.01052262,0,0.344828,25,0,54,0,0,0,0,0,0,0,0
23,102,0,0.09769,22.1364,0,148,1645.4,-105.26989367,40.01052271,0,0.344828,25,0,48,0,0,0,0,0,0,0,0
24,103,0,0.10384,22.1364,0,122,1645.4,-105.26989350,40.01052262,0,0.344828,25,0,45,0,0,0,0,0,0,0,0
25,105,0,0.11004,22.3056,0,134,1645.4,-105.26989375,40.01052254,0,0.344828,25,0,36,0,0,0,0,0,0,0,0
26,105,0,0.1164,22.9104,0,70,1645.4,-105.26989334,40.01052271,0,0.344828,25,0,49,0,0,0,0,0,0,0,0
27,105,0,0.12287,23.2776,0,97,1645.4,-105.26989308,40.01052287,0,0.344828,25,0,50,0,0,0,0,0,0,0,0
28,106,0,0.1292,22.8096,0,113,1645.4,-105.26989325,40.01052262,0,0.344828,25,0,16,0,0,0,0,0,0,0,0
29,107,0,0.13554,22.8096,0,97,1645.4,-105.26989334,40.01052254,0,0.344828,25,0,50,0,0,0,0,0,0,0,0
30,107,0,0.14186,22.7736,0,92,1645.2,-105.26989317,40.01052254,0,0.0283719,25,0,50,0,0,0,0,0,0,0,0
31,106,0,0.14812,22.5396,0,85,1645.2,-105.26989308,40.01052254,0,-0.316456,25,0,16,0,0,0,0,0,0,0,0
32,107,0,0.15453,23.076,0,84,1645.2,-105.26989317,40.01052254,0,-0.316456,25,0,48,0,0,0,0,0,0,0,0
33,106,0,0.16095,23.076,0,70,1645.2,-105.26989317,40.01052246,0,-0.316456,25,0,44,0,0,0,0,0,0,0,0
34,105,0,0.16727,22.7736,0,83,1645.2,-105.26989317,40.01052246,0,-0.316456,25,0,47,0,0,0,0,0,0,0,0
35,105,0,0.17362,22.842,0,59,1645.4,-105.26989308,40.01052246,0,0,25,0,34,0,0,0,0,0,0,0,0
36,102,0,0.17986,22.4712,0,67,1645.4,-105.26989308,40.01052246,0,0,25,0,57,0,0,0,0,0,0,0,0
37,100,0,0.18606,22.338,0,103,1645.4,-105.26989317,40.01052246,0,0,25,0,31,0,0,0,0,0,0,0,0
38,96,0,0.19227,22.338,0,183,1645.4,-105.26989300,40.01052262,0,0,25,0,47,0,0,0,0,0,0,0,0
39,98,0,0.19884,23.6484,0,146,1645.2,-105.26989292,40.01052262,0,-0.305909,25,0,38,0,0,0,0,0,0,0,0
40,98,0,0.20542,23.7132,0,134,1645.2,-105.26989300,40.01052262,0,0.0105466,25,0,42,0,0,0,0,0,0,0,0
41,99,0,0.2121,24.0156,0,127,1645.2,-105.26989300,40.01052262,0,0.0105466,25,0,53,0,0,0,0,0,0,0,0
42,99,0,0.2187,23.7816,0,96,1645.2,-105.26989300,40.01052271,0,0.0105466,25,0,48,0,0,0,0,0,0,0,0
43,98,0,0.22531,23.7816,0,87,1645.2,-105.26989300,40.01052262,0,0.0105466,25,0,53,0,0,0,0,0,0,0,0
44,98,0,0.23191,23.7816,0,95,1645.2,-105.26989308,40.01052262,0,0.0105466,25,0,37,0,0,0,0,0,0,0,0
45,98,0,0.23852,23.7816,0,100,1645.4,-105.26989292,40.01052271,0,0,25,0,43,0,0,0,0,0,0,0,0
46,98,0,0.24506,23.5476,0,120,1645.4,-105.26989283,40.01052279,0,0,25,0,44,0,0,0,0,0,0,0,0
47,99,0,0.2516,23.5476,0,114,1645.4,-105.26989275,40.01052287,0,0,25,0,48,0,0,0,0,0,0,0,0
48,99,0,0.25823,23.85,0,101,1645.4,-105.26989267,40.01052296,0,0,25,0,52,0,0,0,0,0,0,0,0
49,98,0,0.2648,23.6484,0,89,1645.4,-105.26989258,40.01052296,0,0.302572,25,0,49,0,0,0,0,0,0,0,0
